Catégorie,Diagnostic,clean_categorie,predicted_categorie
CRM > Profil,Prière de vérifier que Mme variette.simeu@castel-afrique.com est bien dans le groupe : grp_bpw_R_D_Ventes_Cm@sabc-cm.com svp !,CRM,Reseau
CRM > Profil,"NON REMONTEE EDITION M3 DANS LE MAIL

Bonsoir Messieurs,

Nous n’arrivons pas à avoir les éditions M3 dans les mails pourtant nous sommes en inventaires",CRM,Postes
CRM > Profil,"Problème d'édition

SV P Veuillez paramétreerMrNONFACK 01 à bauno101.",CRM,Postes
CRM > Profil,"Bonjour,

Merci d’exécuter cette requête et de nous retourner les résultats( message d’erreur, résultats au format Excel ou préciser si le resultat est vide)",CRM,Securité
CRM > Profil,Factures en validation au 14 janvier 2022,CRM,Infogérance
CRM > Profil,merci intégrer 12h07,CRM,Securité
CRM > Profil,Création comptes WIFI,CRM,M3
CRM > Profil,MERCI INTEGRER 11H44,CRM,Securité
CRM > Profil,Indisponibilité de BALIACS010,CRM,CRM
CRM > Profil,merci intégrer 15H39,CRM,M3
CRM > Profil,"onsoir,

Merci de bien vouloir redémarrer l'imprimante OLEMUBM101 SVP.",CRM,Securité
CRM > Profil,"Bonjour,

Merci de donner les droit à Rachel Mispa NYAKE EDIMO NGOM rachel.nyake@castel-afrique.com qui est le supérieur hiérarchique devant valider cet inventaire svp",CRM,Infogérance
CRM > Profil,"Bonjour Bodele,

Prière d’exécuter stp pour mise à jour de la chaine de validation:

UPDATE M3FDBPPR.CUGEX1 SET F1A430='SAMO01' WHERE F1CONO=100 AND F1PK02='030170001/USINE YDE' AND F1PK03='FC00035' AND F1FILE='WF_FAA_041';

UPDATE M3FDBPPR.CUGEX1 SET F1A430='LENGLA01' WHERE F1CONO=100 AND F1PK02='034/EBP/2021/EFB/ARO' AND F1PK03='FE00289' AND F1FILE='WF_FAA_041';",CRM,Securité
CRM > Profil,Merci de supprimer ses droits informatiques,CRM,M3
CRM > Profil,"Prière de prendre les dispositions nécessaires pour la suppression de tous les droits informatiques et le retrait de la flotte entreprise de

M. NGOTOM NYA Roger ( 699 31 09 61) qui ne fait plus partie de nos effectifs.

Dans cette attente,",CRM,Infogérance
CRM > Profil,"Merci de valider l'exécution de cette requête qui permettra de boucler les inventaires en faisant évoluer les articles consommés depuis 2018 mais qui affichent des stocks fictifs dans le système.

SELECT MLITNO, MLREPN",CRM,M3
CRM > Profil,Rupture de contrat M. NGA BESSALA Roger Liboire,CRM,CRM
CRM > Profil,demande de pamétrage sur l'imprimante NDOKUBM101,CRM,FE
CRM > Profil,Prière de réinitialiser mon mot de pass iseries,CRM,M3
CRM > Profil,"Bonjour 

Nous sollicitons tous les jour jusqu’à la fin du moi, les extractions ci-dessous sur les périodes du 01 JANVIER 2021 au 31 DECEMBRE 2021:",CRM,M3
CRM > Profil,Problème paramétrage imprimante,CRM,M3
CRM > Profil,"Envoyé à partir de l’outil Capture d’écran

Bonjour,

Bien vouloir supprimer la pièce jointe du 14/01/2022.

Dans l’attente,",CRM,Securité
CRM > Profil,"Rebonjour,

Merci de copier plutôt ce fichier et de ne pas considérer le précédent",CRM,Flotte
CRM > Profil,"Bonjour,

merci de bien vouloir copier ce fichier sur le serveur",CRM,Securité
CRM > Profil,"Bonjour.

Merci d’exécuter la requête ci-dessous et nous renvoyer svp.",CRM,Securité
CRM > Profil,MERCI INTEGRER 12H18,CRM,M3
CRM > Profil,MISE A JOUR eleader Android vers la version 5.27.1,CRM,Postes
CRM > Profil,Mot de passe oublié par le user,CRM,M3
CRM > Profil,Suppression droits informatiques et retrait de la flotte entreprise,CRM,Postes
CRM > Profil,PROFIL INCORECT,CRM,M3
CRM > Profil,Activation des applications,CRM,Postes
CRM > Profil,Non accès à e-leader causée par la non validation du message apparu sur l'écran,CRM,M3
CRM > Profil,Besoin de configuration du userLicence office365 attribuée,CRM,M3
CRM > Profil,les notifications proviennent des hackers,CRM,Postes
CRM > Profil,Difficultés à se connecter à E LEADER,CRM,CRM
CRM > Profil,Paramétrage E-leader (consultation des ventes),CRM,Securité
CRM > Profil,Problème de connexion a Eleader après changement version,CRM,Securité
CRM > Profil,DEMANDE DE DEBLOCAGE CODE E-LEADER PRINTANIERE,CRM,FE
CRM > Profil,Compte E LEADER CDS SOH ERNEST DESIRE ( SOH 01) BLOQUÉ.,CRM,Securité
CRM > Profil,LE GPS SUR TABLETTE PLANTE,CRM,Postes
CRM > Profil,Accès e leader,CRM,Postes
DELTA > Paie,Mise à jour du Profil de M. MBIENDOU dans Amplitude RH pour la paie EOM du Siège,DELTA,CRM
DELTA > Paie,Reinitialisation du mot de passe Amplitude de HAPPI,DELTA,FE
FE > FE Fonctionnelle,FICHIER A COPIER SUR LE SERVEUR,FE,CRM
FE > FE Fonctionnelle,merci intégré 08h01,FE,FE
FE > FE Fonctionnelle,merci intégrer 11h46,FE,Infrastructure
FE > FE Fonctionnelle,DEMANDE D INTEGRATION,FE,CRM
FE > FE Fonctionnelle,merci intégrer 14h29,FE,Securité
FE > FE Fonctionnelle,FICHIER A COPIER SUR LE SERVEUR,FE,Securité
FE > FE Fonctionnelle,merci intégrer 14H32,FE,Securité
FE > FE Fonctionnelle,FICHIER A COPIER SUR LE SERVEURFICHIER A COPIER SUR LE SERVEUR,FE,Postes
FE > FE Fonctionnelle,MERCI INTEGRER 13h28,FE,Securité
FE > FE Fonctionnelle,MERCI INTEGRER 13h54,FE,CRM
FE > FE Fonctionnelle,merci intégrer 10h24,FE,FE
FE > FE Fonctionnelle,merci integrer 08h06,FE,Postes
FE > FE Fonctionnelle,Formulaire de création ou mise à jour d’un profil,FE,Securité
FE > FE Fonctionnelle,merci integrer 09h44,FE,Securité
FE > FE Fonctionnelle,merci intégrer 10h15,FE,Securité
FE > FE Fonctionnelle,merci intégrer 13H54,FE,Postes
FE > FE Fonctionnelle,FICHIER A COPIER SUR LE SERVEUR,FE,Postes
FE > FE Fonctionnelle,merci intégrer 09h51,FE,CRM
FE > FE Fonctionnelle,merci intégrer 11h02,FE,Postes
FE > FE Fonctionnelle,merci intégrer 12h15,FE,Postes
FE > FE Fonctionnelle,merci intégrer 12h25,FE,Securité
FE > FE Fonctionnelle,FICHIERS A COPIER SUR LE SERVEUR,FE,Postes
FE > FE Fonctionnelle,intégrer 11h15,FE,Infrastructure
FE > FE Fonctionnelle,intégrer 14h05,FE,Postes
FE > FE Fonctionnelle,merci intégrer 14h49,FE,Securité
FE > FE Fonctionnelle,merci intégrer 11h19,FE,Postes
FE > FE Fonctionnelle,merci intégrer 15h52,FE,Postes
FE > FE Fonctionnelle,merci intégrer 11h25,FE,M3
FE > FE Fonctionnelle,merci integrer 15h16,FE,M3
FE > FE Fonctionnelle,merci intégrer 11h09,FE,Optimaint
FE > FE Fonctionnelle,intégrer 15h40,FE,Optimaint
FE > FE Fonctionnelle,Merci intégrer 13h50,FE,Flotte
FE > FE Fonctionnelle,intégrer 13h36,FE,Flotte
FE > FE Fonctionnelle,Payement MOMO impossible,FE,M3
FE > FE Fonctionnelle,FORMULAIRE DE CREATION V22-2_Poubelle à pedale 30 L.xls,FE,Flotte
FE > FE Fonctionnelle,Formulaire Création Article Optimaint_200819 - Copie.xlsx,FE,Flotte
FE > FE Fonctionnelle,Formulaire Création Article Optimaint_200819,FE,Flotte
Flotte tel. Collaborateur &amp; Famille > Chansim ou Reconduction SIM,CHANGEMENT SIM OU RECONDUCTION DE N° KAMGA MBAKOP,Flotte,Securité
Flotte tel. Collaborateur &amp; Famille > Chansim ou Reconduction SIM,Reconduction SIM FLOTTE,Flotte,Flotte
Flotte tel. Collaborateur &amp; Famille > Modification quota,MODIFICATION DE QUOTA_NORD_GAROUA,Flotte,Postes
Flotte tel. Entreprise > Autres,Crédit Téléphonique,Flotte,Postes
Flotte tel. Entreprise > Autres,Credit orange non positionné en Décembre N° 699310928,Flotte,Postes
Flotte tel. Entreprise > Chansim ou Reconduction SIM,RECONDUCTION_LITTORAL_LITTORAL 2,Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,"Bonjour Madame 

Merci d'entrer en contact avec le service de ressource humaine de votre site",Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Reconduction puce flote Claude Wambo 698 80 55 36,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Problème de connectivité sur 656110390,Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,ceci est un doublon,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,problème de connectivité sur 697709141,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,CETTE DEAMADE A ETE CREEE DEUX FOIS,Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Demande déblocage compte OM,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,CHANGEMENT SIM OU RECONDUCTION DE N°_NORD_GAROUA,Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,INTEGRATION DE NUMERO EXISTANT OU MIGRATION ATANG,Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,CHANGEMENT SIM OU RECONDUCTION DE N° 696 293 556,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,RECONDUCTION SIM ENTREPRISE N° 699 21 33 13_TRES URGENT,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,PERTE DE TELEPHONE,Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Reconduction SIM FLOTTE SABC,Flotte,Postes
Flotte tel. Entreprise > Chansim ou Reconduction SIM,FACTURATION DES APPELS DES NUMEROS FLOTTES,Flotte,Postes
Flotte tel. Entreprise > Chansim ou Reconduction SIM,INTEGRATION DE NUMERO EXISTANT OU MIGRATION Lucien KOUAM TAMNOU,Flotte,Postes
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Résiliation flotte famille 698 87 12 95,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Reconduction flotte 698963050,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,INTEGRATION DE NUMERO EXISTANT OU MIGRATION,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Pas de connectivité sur le numéro 697843168,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Problème de connectivité sur le numéro 657831982,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Problème de connectivité sur le numéro 692327016,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,CHANGEMENT SIM OU RECONDUCTION DE N°_NORD_GAROUA,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Reconduction flotte 699 31 13 77,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Revalorisation crédit de téléphone,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,reconduction,Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Reconduction flotte 691 14 97 68,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Reconduction flotte 699 97 12 40,Flotte,Reseau
Flotte tel. Entreprise > Chansim ou Reconduction SIM,"Cher client,

Le numéro 699319802 ne fait pas partie de votre flotte.

Merci d’inviter l’abonné à se rendre à l’agence pour assistance.",Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Re conduction SIM flotte,Flotte,Infrastructure
Flotte tel. Entreprise > Chansim ou Reconduction SIM,RECONDUCTION_LITTORAL_LITTORAL 2,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,CREATION DE NOUVEAU NUMERO OU EXTENSION,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Reconduction flotte 696 30 16 15,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Ligne 693734292,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Recharge clef Orange N°691214583,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Request to re-instate MY FLOT NUMBER 694231670,Flotte,Flotte
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Intégration Flotte Entreprise,Flotte,Infogérance
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Reconduction flotte 699 85 27 20,Flotte,Infogérance
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Reconduction puce flote Claude Wambo 698 80 55 36,Flotte,Infogérance
Flotte tel. Entreprise > Chansim ou Reconduction SIM,CHANGEMENT SIM OU RECONDUCTION DE N° 698 774 388,Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,"Bonjour Cher client,

La reconduction du numéro 698006704 est effectuée.",Flotte,Infogérance
Flotte tel. Entreprise > Chansim ou Reconduction SIM,CHANGEMENT SIM OU RECONDUCTION DE N°699 63 99 09,Flotte,Infogérance
Infogérance Printing > Consommable,IMPRIMANTE BALICFAO114,Infogérance,M3
Infogérance Printing > Consommable,Toner imprimante YAOUCFAO119 épuisé.,Infogérance,Infogérance
Infogérance Printing > Consommable,Problème de cartouche d'encre magenta terminé,Infogérance,Infogérance
Infogérance Printing > Consommable,approvisionnement,Infogérance,Infogérance
Infogérance Printing > Consommable,Commande de toner pour imprimante CFAO,Infogérance,M3
Infogérance Printing > Consommable,toner d'appoint.,Infogérance,Infogérance
Infogérance Printing > Consommable,commande encre_CD OMBE,Infogérance,Infogérance
Infogérance Printing > Consommable,Commande toner chez UBM,Infogérance,Postes
Infogérance Printing > Consommable,toner épuisé,Infogérance,Infogérance
Infogérance Printing > Consommable,Imprimante en arret BALIUBM002,Infogérance,M3
Infogérance Printing > Consommable,Commande cartouche pour CFAO,Infogérance,Infogérance
Infogérance Printing > Consommable,Cartouche d'encre EXV 49,Infogérance,Infogérance
Infogérance Printing > Matériel,COPIEUR YAOUCFAO103 HS,Infogérance,Infogérance
Infogérance Printing > Matériel,Problème d'impressdion,Infogérance,Infogérance
Infogérance Printing > Matériel,COPIEUR YAOUCFAO103 HS,Infogérance,M3
Infogérance Printing > Matériel,Panne GAROCFAO102,Infogérance,Infogérance
Infogérance Printing > Matériel,Panne MFP BALIUBM008,Infogérance,Infogérance
Infogérance Printing > Matériel,Défaut imprimante GAROCFAO105,Infogérance,Infogérance
Infogérance Printing > Matériel,Panne imprimante KOUMCFAO104,Infogérance,Postes
Infogérance Printing > Matériel,MFP DSI COMBEL,Infogérance,Infogérance
Infogérance Printing > Matériel,PB IMPRESSION,Infogérance,Postes
Infogérance Printing > Matériel,Est-ce résolu !?IMPRIMANTE NDOKUBM104,Infogérance,Infogérance
Infogérance Printing > Service,Rapport de réparation imprimante,Infogérance,Postes
Infogérance Printing > Service,BESOIN OCTROI D'IMPRESSION EN COULEURS SUR IMPRIMANTE,Infogérance,Infogérance
Infogérance Printing > Service,Affichage du message du réceptacle,Infogérance,Reseau
Infogérance Printing > Service,Diagnostic : L’imprimante affiche « Présence ruban et clignote en orange » ;,Infogérance,M3
Infogérance Printing > Service,disfonctionnement du pilote installé,Infogérance,Postes
Infogérance Printing > Service,SORTIE IMPRESSIONS,Infogérance,Infogérance
Infogérance Printing > Service,"MESSAGE DE TONER USAGE PLEIN, mais cependant boite vide",Infogérance,M3
Infogérance Printing > Service,Impression bureautiques impossible car mauvaise imprimante sélectionnée,Infogérance,Infogérance
Infogérance Printing > Service,déconnexion réseau,Infogérance,M3
Infogérance Printing > Service,Suppression de YAOUCFAO113 de la file d'imprimantes.,Infogérance,Infogérance
Infogérance Printing > Service,Difficulté d'impression sur le poste,Infogérance,Infogérance
Infogérance Printing > Service,COPIEUR SERVICE MAINTENANCE EN PANNE,Infogérance,Infogérance
Infogérance Printing > Service,Panne bonaubm105,Infogérance,M3
Infogérance Printing > Service,IMPRIMANTE BALIUBM008 EN PANNE,Infogérance,Infogérance
Infogérance Printing > Service,Problème reste longtemps sans être arrêté,Infogérance,Infogérance
Infogérance Printing > Service,Panne imprimante salle des Commerciaux NDOKOTI,Infogérance,M3
Infogérance Printing > Service,Ndokubm112_ labo hs,Infogérance,Infogérance
Infogérance Printing > Service,DYSFONCTIONNEMENT IMPRIMANTE NDOKUBM 115,Infogérance,Infogérance
Infogérance Printing > Service,La qualité de l'impression,Infogérance,Postes
Infogérance Printing > Service,PROBLEME COPIEUR,Infogérance,Infogérance
Infogérance Printing > Service,TRAIT IMPRESSIION IMPRIMANTE BATIMENT ADMINISTRATIF (ETAGE),Infogérance,Postes
Infogérance Printing > Service,Maintenance GAROCFAO103 du MU,Infogérance,Postes
Infogérance Printing > Service,Mauvaise qualité impression documents,Infogérance,Postes
Infogérance Printing > Service,Panne imprimante salle des Commerciaux NDOKOTI,Infogérance,Postes
Infogérance Printing > Service,Problème avec le copieur RH,Infogérance,M3
Infogérance Printing > Service,pas résoluProblème de mise en page sur l'imprimante : Très urgent. Problème de mise en page sur l'imprimante : Très urgent.,Infogérance,Postes
Infrastructure > Electricité,Indisponibilité des deux liaisons réseaux et des équipements informatiques à BAMENDA,Infrastructure,Infrastructure
Infrastructure > Electricité,Indisponibilité des deux liaisons réseaux et des équipements informatiques à EDEA,Infrastructure,Postes
Infrastructure > Electricité,"defaut GE , fuite d'huile",Infrastructure,Postes
Infrastructure > Electricité,Indisponibilité des deux liaisons réseaux et des équipements informatiques à BAMENDA,Infrastructure,Postes
Infrastructure > Groupe Electrogene,Entrentien Onduleur CD NSAM,Infrastructure,M3
Infrastructure > Groupe Electrogene,Indisponibilité des deux liaisons réseaux et des équipements informatiques à EBOLOWA,Infrastructure,Securité
Infrastructure > Groupe Electrogene,entretien GE,Infrastructure,M3
Infrastructure > Groupe Electrogene,Indisponibilité des deux liaisons réseaux et des équipements informatiques à AKONOLINGA,Infrastructure,Infrastructure
Infrastructure > Groupe Electrogene,Absence du secteur ENEO,Infrastructure,M3
Infrastructure > Groupe Electrogene,Indisponibilité des deux liaisons réseaux et des équipements informatiques à EBOLOWA,Infrastructure,M3
Infrastructure > Groupe Electrogene,PANNE GROUPE ELECTROGENE CD SAA,Infrastructure,Securité
Infrastructure > Groupe Electrogene,Deconnexion des equipements reseaux du site de SAA ce 27/01 à 07h39 mn,Infrastructure,Securité
Infrastructure > Groupe Electrogene,REMPLACEMENT ONDULEUR CD BAFIA,Infrastructure,M3
Infrastructure > Groupe Electrogene,Entretien GE,Infrastructure,M3
Infrastructure > Groupe Electrogene,Arrêt du GE pour entretien préventif CD SA'A le 24/01/2022,Infrastructure,Postes
Infrastructure > Reseau et Telecom,switch est allumé et le magasinier qui y est connecté travaille normalement,Reseau,Reseau
Infrastructure > Reseau et Telecom,Monitoring des lecteurs et controleurs biometriques,Reseau,Postes
Infrastructure > Reseau et Telecom,blocage du mini switch par le NAC,Reseau,Postes
Infrastructure > Reseau et Telecom,Ajout dun port dans une règle FW,Reseau,Infrastructure
Infrastructure > Reseau et Telecom,Mise à jour objet mail pou rrapport hebdo OCM,Reseau,M3
Infrastructure > Reseau et Telecom,Demande d'accès à Internet,Reseau,M3
Infrastructure > Reseau et Telecom,"instabilité reseau LAN, cause encors encours d'analyse",Reseau,Postes
Infrastructure > Serveur I,merci intégrer sur le serveur 12h14,Infrastructure,Postes
Infrastructure > Serveur I,Fichier à intégrer sur le serveur,Infrastructure,M3
Infrastructure > Serveur I,Fichier OD à déposer sur le serveur,Infrastructure,M3
Infrastructure > Serveur I,Select objectif 2022,Infrastructure,Securité
Infrastructure > Serveur I,RETENUE FRIGOS 2021 DISTRIBUTEURS,Infrastructure,Postes
Infrastructure > Serveur I,Fichier de ce jour envoyé à la hotline,Infrastructure,M3
Infrastructure > Serveur I,"OK

redemarrage du service apache",Infrastructure,Securité
Infrastructure > Serveur I,Saturation causée par l'exécution de plusieurs requêtes simultanément,Infrastructure,M3
Infrastructure > Serveur I,cet incident a été crée en double,Infrastructure,M3
Infrastructure > Serveur I,C'EST à VOUS DE TRAITER CET INCIDENT AVEC VOTRE CHEF ET NON MOI,Infrastructure,Postes
Infrastructure > Serveur I,indisponibilité du serveur causé par un pb de corruption de données sur la baie de stockage,Infrastructure,Postes
Infrastructure > Serveur I,"Il faut séparer les éléments

voir William pour le PDCA",Infrastructure,Securité
Infrastructure > Serveur I,actroie des droits internet,Infrastructure,M3
Infrastructure > Serveur I,Mise à jour OK,Infrastructure,BDI
Infrastructure > Serveur I,"Merci d'utiliser dans le reseau SABC en attendant

http://baliqlik101/qlikview/index.htm",Infrastructure,Optimaint
Infrastructure > Serveur I,"OK

redemarrage du service apache",Infrastructure,Postes
Infrastructure > Serveur I,"OK

redemarrage du service apache",Infrastructure,M3
Infrastructure > Serveur I,Besoin des requetes pour valider les sources de données sur la journée,Infrastructure,M3
Infrastructure > Serveur I,Analyse de la redirection DNS externe encours,Infrastructure,M3
Infrastructure > Serveur I,SUIVI JOURNALIER DES VENTES,Infrastructure,M3
Infrastructure > Serveur I,Arsene on en parle la semaine prochaine,Infrastructure,M3
Infrastructure > Serveur I,RAPPORT MY BRASSERIEVoir le controle de gestion pour la generation du rapport de decembre,Infrastructure,M3
M3 > Achats,"Difficultés de consommation de la bière du TOD 17 Nous ne parvenons pas à consommer dans les OF la bière Manyan du TOD 17 dont les références sont les suivantes : 

Emplacement : 101FGTOD17

Code article :BIEREHDMNY

N° de Lot :5268047",M3,M3
M3 > Achats,OA SABC AVEC ENTETE SOURCE TANGUI,M3,M3
M3 > Achats,ART 8890309I,M3,M3
M3 > Achats,Création article en masse_070122,M3,Securité
M3 > Achats,Création articles en masse,M3,Securité
M3 > Achats,ODES ARTICLES A CONNECTER AU DEPOT 270,M3,Securité
M3 > Achats,BESOIN DE RATTACHEMENT DU CODE DANS LES DEPOTS 150 ET 181,M3,M3
M3 > Achats,DROIT LIMITER SUR PMS060,M3,M3
M3 > Achats,Inventaire bloqué dans M3,M3,M3
M3 > Achats,DEMANDE DE DROIT D ACCES DE MONSIEUR ELIMBI,M3,M3
M3 > Achats,la fiche de profils a été envoyée par Mme FONGANG LysetteMASHUP OA,M3,M3
M3 > Achats,Le compte M3 de Mme FOPAH est désactivé,M3,M3
M3 > Achats,Il s'agit d'une demande d'extraction,M3,M3
M3 > Achats,VALIDATION OA DANS MASHUP COMMANDE,M3,Postes
M3 > Achats,Codification,M3,M3
M3 > Achats,DEMANDE DE CONNECTION,M3,M3
M3 > Achats,Le code du fournisseur renseigné n'est pas le bon,M3,M3
M3 > Achats,Parametrage,M3,Workflows
M3 > Achats,CONNEXION DANS LE DEPOT 270 (CODE ARTICLE: 042-03395),M3,M3
M3 > Achats,PROBLEME D IMPRESSION INVENTAIRE,M3,M3
M3 > Achats,Vous n'avez effectivement pas les droits de valider les écarts inventaires à plus de 1%,M3,M3
M3 > Achats,Nous n’avons effectué aucune évolution à notre niveau ces derniers temps.,M3,M3
M3 > Achats,Codification PDR chaine 8 Yaoundé,M3,Securité
M3 > Achats,La chaine de validation soumis ne se met pas à jour au niveau du WF Bon de commande,M3,M3
M3 > Achats,inventaire en statut intermédiaire,M3,M3
M3 > Achats,Nous ne retrouvons plus cet OD pour analyse,M3,M3
M3 > Achats,Les lignes de l'OA ont une différence sur leur chaine comptable,M3,Securité
M3 > Achats,paramétrage,M3,Postes
M3 > Achats,Il s'agit d'un problème d'incohérence de stock dans les programmes,M3,M3
M3 > Achats,connexion article/ dépôt,M3,M3
M3 > Achats,CREATION ARTICLE,M3,M3
M3 > Achats,Nous ne retrouvons plus cet OD pour analyse,M3,M3
M3 > Achats,Demande de création des fiches de stock dans M3,M3,M3
M3 > Achats,Il s'agit vraisemblablement d'une lenteur du service MEC,M3,M3
M3 > Achats,DEMANDE DE CREATION CODE ARTICLE M3 ARTICLES PUBLICITAIRE,M3,M3
M3 > Achats,suppression ligne au statut 22,M3,M3
M3 > Achats,Un déséquilibre des stocks de MUT65C est constaté dans les différents programmes au dépôt 052,M3,Postes
M3 > Achats,Depôts pour activation CHC50B,M3,M3
M3 > Achats,Vous ne pouvez pas voir l'OA en tant qu'acheteur par ce que c'est BOUTCH01 l'acheteur,M3,M3
M3 > Achats,PARAMETRAGE,M3,M3
M3 > Achats,LA LIGNE D'INVENTAIRE DU DEPOT 270PA00003 NE REMONTE PAS,M3,M3
M3 > Achats,Déjà traité,M3,M3
M3 > Achats,Défaillance du service MEC due à une saturation des disques du serveur,M3,M3
M3 > Achats,"Les OA de la liste ont déjà été réceptionnés mais mal saisie

Besoin de rétrograder l'OA pour qu'il soit annulé pour ressaisie",M3,M3
M3 > Achats,Le stock fichier ne remonte pas au niveau de l'inventaire à cause du non alignement des tables M3,M3,M3
M3 > Achats,Demande codification,M3,Postes
M3 > Achats,Codification ACOPOS,M3,M3
M3 > Achats,Codification,M3,M3
M3 > Achats,L'ordre de réquisition a été saisie dans l'établissement P20 pour le dépôt 101 c'est la raison du blocage,M3,M3
M3 > Achats,DEMANDE DE CODIFICATION ARTICLE,M3,M3
M3 > Achats,Création en masse article_210122,M3,M3
M3 > Achats,Les éditions ont été bloqué à cause d'une saturation de la saturation des files d'attente sur le serveur,M3,M3
M3 > Achats,Le mouchard des OA validés sur INFOR n'est pas actif,M3,M3
M3 > Achats,CORRECTION ALARME,M3,M3
M3 > Achats,création code article en masse_280122_2,M3,M3
M3 > Achats,CODES ARTICLES A CONNECTER AU DEPOT 270,M3,M3
M3 > Achats,Mise à jour Libellé,M3,M3
M3 > Achats,Création Codes,M3,M3
M3 > Achats,CODIFICATION POUR COMMANDE SOS,M3,M3
M3 > Achats,DEMANDE DE CODIFICATION ARTICLE,M3,M3
M3 > Achats,INVENTAIRE BLOQUE AU STATUT 70,M3,M3
M3 > Achats,Le stock de cet article est vide dans le dépôt 270,M3,M3
M3 > Achats,La chaine comptable sur les lignes de l'OA ont des centre de coût differents,M3,M3
M3 > Achats,Connexion code article,M3,M3
M3 > Achats,DEMANDE DE CONNECTION,M3,Securité
M3 > Achats,Commande Cartons de reconditionnement PET 1L.,M3,M3
M3 > Achats,Connexions articles dans M3 et dans dépôt 270,M3,M3
M3 > Achats,DEMANDE COFIFICATION MOTEUR COURONNE EXTERIEURE SOUTIREUSE.xlsx,M3,M3
M3 > Achats,Offres prix/MANYAN 65cl EVE,M3,M3
M3 > Achats,Le problème est du à un défaut d'alignement des stock sur les différentes tables,M3,M3
M3 > Achats,Le problème est dû à une lenteur au niveau de MEC,M3,M3
M3 > Achats,Le flux d'édition n'est pas remonté dans le MNS206,M3,Securité
M3 > Achats,MAJ code SACO,M3,M3
M3 > Achats,da 3139293 en statut validée à connecter dans le dépôts 270,M3,M3
M3 > Achats,Le fichier édition de l'OA est remonté sans signature,M3,M3
M3 > Achats,CENTRALISATION MPC SCV,M3,M3
M3 > Achats,POUR TELEVISEUR INFIRMERIE,M3,M3
M3 > Achats,Problème du à une lenteur au niveau de MEC,M3,M3
M3 > Achats,CONNEXION ARTICLE AUX DEPOTS 270 &amp; 803,M3,M3
M3 > Achats,KIT PARTIES SECHES XXLOVE.xlsx,M3,M3
M3 > Achats,Le bon de réception n'est pas remonté à cause d'une lenteur de la file d'attente du MOS,M3,M3
M3 > Achats,ACTUALISER,M3,M3
M3 > Achats,01_MAJ PMP DU 11 01 22 P00 COLORETTE,M3,M3
M3 > Achats,Création Article Opti_SOUFF_CONV.xlsx,M3,M3
M3 > Achats,"Bonsoir Gisele

Merci de trouver ci-dessous les OA dans lesquels EKEKE01 intervient",M3,M3
M3 > Achats,Le mail est adressé à Jean,M3,M3
M3 > Achats,Codification,M3,M3
M3 > Achats,Problème de remonté des données des palettes dans M3. script planté,M3,M3
M3 > Achats,DEMANDE DE CODIFICATION,M3,M3
M3 > Achats,CREATION ARTICLE,M3,M3
